event_id,learner_id,session_id,instrument,score,max_score,assessment_date
E00060,VU0005,S003,OSCE: Communication Station,80.1,100,2024-09-21
E01137,VU0099,S021,Quiz: Renal Replacement (RRT),17,20,2025-04-18
E01714,VU0148,S021,Quiz: Renal Replacement (RRT),40,50,2024-11-03
E00078,VU0007,S015,Quiz: Nutrition,,50,2024-11-24
E00796,VU0069,S017,Quiz: Sepsis Bundles,33,50,2024-11-03
E00527,VU0046,S015,Quiz: Nutrition,16,20,2025-04-22
E01022,VU0089,S014,Professionalism Attestation,P,,2025-03-24
E01119,VU0098,S013,Quiz: Acute Kidney Injury,40,,2025-04-08
E01451,VU0126,S003,OSCE: Communication Station,97.6,100,2024-10-07
E01166,VU0102,S008,Quiz: Antimicrobial Stewardship,37,50,2024-12-16
E00766,VU0066,S020,OSCE: Pre-Clerkship Capstone,95.2,100,2025-02-09
E01619,VU0140,S020,OSCE: Pre-Clerkship Capstone,88.7,100,2025-02-10
E01218,VU0107,S006,Facilitator Eval: QI Project,7,9,2025-02-18
E00349,VU0030,S007,Facilitator Eval: Clinical Reasoning,8,9,2025-01-16
E00775,VU0067,S015,Quiz: Nutrition,18,25,02/11/2025
E00082,VU0007,S020,OSCE: Pre-Clerkship Capstone,78.0,100,2024-09-22
E00921,VU0080,S003,OSCE: Communication Station,93.8,100,03/03/2025
E00177,VU0016,S015,Quiz: Nutrition,50,50,2024-11-16
E01636,VU0141,S021,Quiz: Renal Replacement (RRT),17,20,02/17/2025
E01710,VU0148,S003,OSCE: Communication Station,93.4,100,2025-03-24
E01503,VU0130,S016,OSCE: Shared Decision-Making,75.9,100,2024-11-19
E01162,VU0102,S006,Facilitator Eval: QI Project,7,9,2024-12-05
E01068,VU0093,S008,Quiz: Antimicrobial Stewardship,24,25,2024-12-08
E00768,VU0066,S014,Professionalism Attestation,P,,2024-12-11
E01432,VU0124,S003,OSCE: Communication Station,77.1,100,2025-02-13
E01662,VU0144,S021,Quiz: Renal Replacement (RRT),19,25,2025-04-20
E00505,VU0044,S010,Facilitator Eval: IP Rounds,8,9,2025-04-25
E01226,VU0107,S008,Quiz: Antimicrobial Stewardship,36,50,2025-01-04
E01678,VU0145,S016,OSCE: Shared Decision-Making,89.8,100,2025-03-23
E01538,VU0133,S010,Facilitator Eval: IP Rounds,9,9,09/21/2024
E01706,VU0147,S021,Quiz: Renal Replacement (RRT),40,50,2024-10-17
E01412,VU0123,S007,Facilitator Eval: Clinical Reasoning,7,9,2024-10-04
E00042,VU0004,S015,Quiz: Nutrition,11,20,2024-11-29
E00631,VU0055,S008,Quiz: Antimicrobial Stewardship,50,50,12/23/2024
E01433,VU0124,S021,Quiz: Renal Replacement (RRT),33,50,10/13/2024
E00436,VU0038,S015,Quiz: Nutrition,37,50,2025-04-07
E01274,VU0111,S016,OSCE: Shared Decision-Making,70.1,100,2025-03-30
E00051,VU0005,S010,Facilitator Eval: IP Rounds,8,9,2024-10-01
E01639,VU0142,S020,OSCE: Pre-Clerkship Capstone,90.7,100,03/06/2025
E00333,VU0029,S004,Quiz: Endocrine/DKA,17,20,2024-12-09
E01659,VU0144,S008,Quiz: Antimicrobial Stewardship,16,25,2024-10-30
E01605,VU0139,S021,Quiz: Renal Replacement (RRT),21,25,2024-10-06
E00354,VU0031,S011,Quiz: Pulmonary Embolism,38,50,11/29/2024
E01428,VU0124,S002,Quiz: Cardiology ECG,17,25,2025-02-10
E00590,VU0052,S021,Quiz: Renal Replacement (RRT),33,50,2025-02-06
E00832,VU0072,S007,Facilitator Eval: Clinical Reasoning,9,9,2025-04-29
E00692,VU0059,S007,Facilitator Eval: Clinical Reasoning,7,9,09/11/24
E00778,VU0067,S017,Quiz: Sepsis Bundles,19,25,2024-11-20
E00937,VU0081,S011,Quiz: Pulmonary Embolism,13,20,2025-01-27
E00994,VU0086,S015,Quiz: Nutrition,47,50,2025-02-17
E00180,VU0016,S011,Quiz: Pulmonary Embolism,43,50,11/18/2024
E00572,VU0050,S006,Facilitator Eval: QI Project,6,9,12/01/2024
E01413,VU0123,S002,Quiz: Cardiology ECG,17,25,2024-12-04
E01388,VU0121,S020,OSCE: Pre-Clerkship Capstone,80.7,100,2025-03-27
E01033,VU0090,S014,Professionalism Attestation,P,,01/26/2025
E01393,VU0121,S018,Facilitator Eval: Journal Club,8,9,2024-09-08
E01188,VU0104,S008,Quiz: Antimicrobial Stewardship,15,20,12/27/24
E00255,VU0022,S002,Quiz: Cardiology ECG,14,20,2025-02-20
E00378,VU0032,S001,Quiz: Renal Acid-Base,20,25,10/01/24
E00260,VU0023,S014,Professionalism Attestation,P,,2024-12-02
E01340,VU0116,S004,Quiz: Endocrine/DKA,22,25,2024-12-18
E01717,VU0148,S007,Facilitator Eval: Clinical Reasoning,7,9,2024-11-30
E01597,VU0138,S013,Quiz: Acute Kidney Injury,18,20,2025-02-14
E01169,VU0102,S003,OSCE: Communication Station,82.5,100,2024-10-15
E01500,VU0129,S007,Facilitator Eval: Clinical Reasoning,7,9,2025-04-04
E01163,VU0102,S005,Quiz: Heart Failure,49,50,11/18/24
E01058,VU0092,S015,Quiz: Nutrition,19,20,2024-11-06
E01110,VU0097,S014,Professionalism Attestation,P,,2024-10-29
E01646,VU0143,S005,Quiz: Heart Failure,15,20,2025-04-11
E01205,VU0106,S008,Quiz: Antimicrobial Stewardship,20,25,11/30/24
E00428,VU0037,S011,Quiz: Pulmonary Embolism,19,25,04/01/2025
E01375,VU0120,S005,Quiz: Heart Failure,18,25,09/26/2024
E01627,VU0141,S014,Professionalism Attestation,P,,2024-12-05
E00035,VU0003,S004,Quiz: Endocrine/DKA,44,50,01/29/25
E00872,VU0075,S017,Quiz: Sepsis Bundles,25,25,2024-09-23
E01173,VU0103,S010,Facilitator Eval: IP Rounds,4,9,2025-03-15
E01670,VU0145,S014,Professionalism Attestation,P,,2025-02-12
E00993,VU0086,S010,Facilitator Eval: IP Rounds,6,9,2024-11-27
E00433,VU0037,S013,Quiz: Acute Kidney Injury,20,20,2024-11-18
E00323,VU0028,S015,Quiz: Nutrition,34,,2025-03-17
E00347,VU0030,S015,Quiz: Nutrition,19,,2025-01-04
E00486,VU0042,S007,Facilitator Eval: Clinical Reasoning,7,9,2024-09-14
E00047,VU0004,S013,Quiz: Acute Kidney Injury,46,50,2025-03-13
E00647,VU0056,S016,OSCE: Shared Decision-Making,92.7,100,01/17/2025
E00678,VU0058,S016,OSCE: Shared Decision-Making,77.7,100,12/01/2024
E01001,VU0087,S018,Facilitator Eval: Journal Club,9,9,2025-04-22
E01422,VU0123,S006,Facilitator Eval: QI Project,7,9,2024-12-05
E01543,VU0133,S004,Quiz: Endocrine/DKA,18,,2025-03-09
E01429,VU0124,S001,Quiz: Renal Acid-Base,24,25,10/09/2024
E01680,VU0145,S021,Quiz: Renal Replacement (RRT),20,25,2024-11-20
E01715,VU0148,S011,Quiz: Pulmonary Embolism,22,25,2024-11-15
E00974,VU0084,S002,Quiz: Cardiology ECG,17,20,2025-02-07
E01457,VU0126,S013,Quiz: Acute Kidney Injury,18,25,2025-01-15
E00194,VU0017,S004,Quiz: Endocrine/DKA,49,50,2024-11-29
E01395,VU0121,S011,Quiz: Pulmonary Embolism,21,25,2024-10-13
E00355,VU0031,S008,Quiz: Antimicrobial Stewardship,15,20,10/23/2024
E00495,VU0043,S018,Facilitator Eval: Journal Club,9,9,2025-01-16
E00533,VU0047,S006,Facilitator Eval: QI Project,6,9,2025-02-14
E00818,VU0071,S021,Quiz: Renal Replacement (RRT),12,20,2025-03-17
E00443,VU0038,S013,Quiz: Acute Kidney Injury,50,50,2025-04-25
E00846,VU0073,S008,Quiz: Antimicrobial Stewardship,38,50,2025-02-16
E01267,VU0110,S015,Quiz: Nutrition,37,50,2024-10-31
E01398,VU0122,S006,Facilitator Eval: QI Project,7,9,2025-02-12
E00924,VU0080,S020,OSCE: Pre-Clerkship Capstone,70.7,100,2024-10-11
E00426,VU0037,S010,Facilitator Eval: IP Rounds,6,9,2024-10-04
E01537,VU0133,S015,Quiz: Nutrition,15,20,2024-09-20
E00321,VU0028,S001,Quiz: Renal Acid-Base,13,20,2024-09-03
E01196,VU0105,S003,OSCE: Communication Station,87.0,100,2025-01-30
E01697,VU0146,S010,Facilitator Eval: IP Rounds,4,9,2024-09-15
E00032,VU0003,S014,Professionalism Attestation,P,,02/23/25
E00289,VU0025,S008,Quiz: Antimicrobial Stewardship,44,50,02/24/2025
E00988,VU0086,S003,OSCE: Communication Station,72.2,100,2025-03-23
E00451,VU0039,S007,Facilitator Eval: Clinical Reasoning,5,9,2024-12-09
E00061,VU0005,S018,Facilitator Eval: Journal Club,6,9,11/19/2024
E00535,VU0047,S016,OSCE: Shared Decision-Making,66.8,100,2025-02-17
E00955,VU0083,S016,OSCE: Shared Decision-Making,95.8,100,2025-01-16
E01507,VU0130,S008,Quiz: Antimicrobial Stewardship,21,25,10/22/2024
E00803,VU0069,S001,Quiz: Renal Acid-Base,19,20,2024-09-06
E00190,VU0017,S014,Professionalism Attestation,P,,03/17/2025
E01743,VU0150,S017,Quiz: Sepsis Bundles,44,50,09/22/2024
E01392,VU0121,S004,Quiz: Endocrine/DKA,42,50,2025-04-07
E00644,VU0056,S001,Quiz: Renal Acid-Base,19,20,2025-02-19
E01515,VU0131,S014,Professionalism Attestation,P,,2024-09-08
E00249,VU0022,S018,Facilitator Eval: Journal Club,6,9,2024-10-09
E01255,VU0109,S018,Facilitator Eval: Journal Club,7,9,04/07/2025
E00623,VU0054,S007,Facilitator Eval: Clinical Reasoning,7,9,2025-01-12
E00973,VU0084,S010,Facilitator Eval: IP Rounds,6,9,2024-10-09
